kota_kabupaten;kecamatan;jumlah_penduduk;kepadatan_penduduk;jumlah_anak(0-17th);jumlah_usia_produktif(15-64th);jumlah_penduduk_pria;jumlah_penduduk_perempuan;jenis_fasilitas_olahraga;jumlah
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;80.416;78.663;bola voli;1
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;80.416;78.663;bulu tangkis;19
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;80.416;78.663;basket;1
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;80.416;78.663;atletik;1
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;80.416;78.663;tenis meja;8
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;80.416;78.663;golf;0
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;80.416;78.663;senam;2
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;80.416;78.663;gedung olahraga;1
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;80.416;78.663;stadion;0
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;80.416;78.663;gelanggang kecamatan;1
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;80.416;78.663;gelanggang kotamadya;0
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;tenis;15
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;sepak bola;8
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;kolam renang;3
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;bola voli;16
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;bulu tangkis;24
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;basket;16
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;atletik;0
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;tenis meja;15
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;golf;0
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;senam;30
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;gedung olahraga;1
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;stadion;0
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;gelanggang kecamatan;1
Jakarta Selatan;Pancoran;179.178;20.002;50.084;127.580;88.425;88.294;gelanggang kotamadya;0
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;tenis;2
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;sepak bola;2
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;kolam renang;3
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;bola voli;8
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;bulu tangkis;11
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;basket;2
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;atletik;2
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;tenis meja;1
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;golf;0
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;senam;8
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;gedung olahraga;2
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;stadion;1
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;gelanggang kecamatan;1
Jakarta Selatan;Pasar Minggu;335.824;15.375;95.986;238.679;166.754;165.071;gelanggang kotamadya;0
Jakarta Selatan;Pesanggrahan;271.443;20.141;79.139;191.360;132.303;132.364;tenis;0
Jakarta Selatan;Pesanggrahan;271.443;20.141;79.139;191.360;132.303;132.364;sepak bola;1
Jakarta Selatan;Pesanggrahan;271.443;20.141;79.139;191.360;132.303;132.364;kolam renang;0
Jakarta Selatan;Pesanggrahan;271.443;20.141;79.139;191.360;132.303;132.364;bola voli;1
Jakarta Selatan;Pesanggrahan;271.443;20.141;79.139;191.360;132.303;132.364;bulu tangkis;4
